City,Country,Latitude,longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
Bowen,AU,-20.02,148.23,69.8,68,0,10.42,1603019803
Ancud,CL,-41.87,-73.82,46.99,87,75,11.41,1603019804
Kologriv,RU,58.83,44.32,35.24,93,100,9.82,1603019804
Atuona,PF,-9.8,-139.03,76.68,80,7,16.06,1603019804
Ekhabi,RU,53.51,142.97,31.69,94,77,19.55,1603019804
Qaanaaq,GL,77.48,-69.36,34.86,83,99,8.81,1603019804
Nikolskoye,RU,59.7,30.79,39.2,69,75,8.95,1603019804
Edzell,GB,56.81,-2.65,46.99,93,75,5.26,1603019804
Poplar Bluff,US,36.76,-90.39,57.2,67,90,6.93,1603019805
Vrangel',RU,42.73,133.08,53.24,53,0,2.15,1603019805
Dingle,PH,11.0,122.67,78.62,88,85,6.44,1603019805
Irati,BR,-25.47,-50.65,58.91,71,99,3.38,1603019805
Port Elizabeth,ZA,-33.92,25.57,68.0,56,99,23.04,1603019805
Norman Wells,CA,65.28,-126.83,8.6,84,5,5.82,1603019805
Ponta do Sol,PT,32.67,-17.1,69.8,88,75,26.4,1603019805
Ahipara,NZ,-35.17,173.17,56.1,91,46,5.32,1603019806
Saint-Joseph,RE,-21.37,55.62,82.4,61,90,17.22,1603019806
San Francisco,US,37.77,-122.42,64.0,77,20,8.05,1603019733
Jiayuguan City,CN,39.82,98.3,49.59,37,0,7.09,1603019806
Lompoc,US,34.64,-120.46,55.4,87,1,4.09,1603019806
Moses Lake,US,47.13,-119.28,51.8,50,90,5.82,1603019806
Funtua,NG,11.52,7.31,91.0,30,3,8.95,1603019806
Stephenville,US,32.22,-98.2,66.99,88,1,10.29,1603019806
Samarinda,ID,-0.5,117.15,76.57,90,67,3.31,1603019624
São Filipe,CV,14.9,-24.5,80.65,78,26,3.29,1603019807
San Cristobal,VE,7.77,-72.22,65.59,81,82,3.13,1603019807
Port Alfred,ZA,-33.59,26.89,68.81,64,81,20.33,1603019807
Guerrero Negro,MX,27.98,-114.06,69.06,78,11,7.02,1603019807
Jamestown,US,42.1,-79.24,48.99,52,1,13.87,1603019807
Broome,US,42.25,-75.83,39.2,64,1,5.82,1603019808
Darhan,MN,49.49,105.92,43.61,58,0,7.7,1603019712
Lebu,CL,-37.62,-73.65,48.16,93,14,1.66,1603019808
Bethel,US,41.37,-73.41,37.99,68,75,2.66,1603019808
Kiryat Gat,IL,31.61,34.76,84.99,69,10,13.62,1603019808
Srednekolymsk,RU,67.45,153.68,24.33,98,95,7.63,1603019808
Husavik,IS,66.04,-17.34,44.6,70,90,2.24,1603019808
Kavieng,PG,-2.57,150.8,83.07,75,86,12.68,1603019808
Sept-Îles,CA,50.2,-66.38,37.99,93,5,3.36,1603019809
Roald,NO,62.58,6.13,42.8,65,40,11.41,1603019809
Dunedin,NZ,-45.87,170.5,48.99,87,100,7.34,1603019704
Sola,VU,-13.88,167.55,80.04,76,0,18.72,1603019809
Provideniya,RU,64.38,-173.3,35.35,87,98,2.35,1603019809
Sorong,ID,-0.88,131.25,79.18,79,100,9.86,1603019635
Cape Town,ZA,-33.93,18.42,68.0,52,40,11.41,1603019576
Tuktoyaktuk,CA,69.45,-133.04,12.81,91,2,6.6,1603019810
Vaini,TO,-21.2,-175.2,69.8,83,40,10.29,1603019810
Gilgit,PK,35.92,74.31,72.57,19,15,3.42,1603019810
Hong Kong,HK,22.29,114.16,79.0,76,25,1.99,1603019708
Verāval,IN,20.9,70.37,84.9,76,45,11.68,1603019810
Gorontalo,ID,0.54,123.06,76.1,87,100,2.84,1603019810
Bluff,NZ,-46.6,168.33,46.89,73,96,1.45,1603019810
Klaksvík,FO,62.23,-6.59,39.2,86,75,5.82,1603019811
Kindu,CD,-2.95,25.95,88.38,53,97,2.8,1603019811
Barrow,US,71.29,-156.79,19.4,73,1,17.22,1603019811
Loralai,PK,30.37,68.6,77.56,13,0,8.01,1603019811
Castro,BR,-24.79,-50.01,56.34,87,94,8.21,1603019811
Akdepe,TM,42.06,59.38,77.0,16,0,9.17,1603019812
São João da Barra,BR,-21.64,-41.05,73.4,78,68,6.93,1603019812
Abu Dhabi,AE,24.47,54.37,95.0,32,0,11.41,1603019663
Hilo,US,19.73,-155.09,73.4,83,1,3.36,1603019812
Bandarbeyla,SO,9.49,50.81,84.83,65,0,15.14,1603019812
Kaitangata,NZ,-46.28,169.85,48.99,88,99,1.99,1603019812
Kaset Sombun,TH,16.28,101.95,70.02,91,100,4.52,1603019812
Biak,ID,-0.91,122.88,77.36,81,99,1.59,1603019813
Hamilton,US,39.18,-84.53,52.0,61,90,6.93,1603019760
Sanmenxia,CN,34.77,111.18,60.42,37,74,2.01,1603019801
Labuhan,ID,-6.88,112.21,78.66,77,100,4.14,1603019813
Khatanga,RU,71.97,102.5,8.17,87,8,8.68,1603019813
Geraldton,AU,-28.77,114.6,69.8,68,25,11.41,1603019813
Longyearbyen,SJ,78.22,15.64,26.6,73,20,8.05,1603019813
Rawson,AR,-43.3,-65.1,60.26,33,0,10.38,1603019814
Saint George,US,37.1,-113.58,55.4,20,1,0.98,1603019814
Nanortalik,GL,60.14,-45.24,39.65,85,100,4.07,1603019814
Kavaratti,IN,10.57,72.64,81.68,75,7,11.05,1603019814
Acaraú,BR,-2.89,-40.12,83.01,58,51,17.2,1603019814
Ilulissat,GL,69.22,-51.1,35.6,80,91,3.36,1603019814
Thompson,CA,55.74,-97.86,23.0,100,90,4.7,1603019815
Kahului,US,20.89,-156.47,78.8,69,1,5.82,1603019815
Richards Bay,ZA,-28.78,32.04,87.15,50,2,7.34,1603019815
Kars,TR,40.6,43.09,69.8,18,0,5.82,1603019815
Tasiilaq,GL,65.61,-37.64,50.0,27,75,9.17,1603019815
Talakan,RU,50.32,130.37,31.03,84,25,4.61,1603019815
Upernavik,GL,72.79,-56.15,34.77,93,100,15.39,1603019815
Sinnamary,GF,5.38,-52.95,82.36,77,40,10.4,1603019815
Kruisfontein,ZA,-34.0,24.73,70.0,54,100,11.01,1603019816
Mizdah,LY,31.45,12.98,70.81,47,100,10.65,1603019816
Labuan,MY,5.28,115.24,84.2,74,20,5.82,1603019816
Leh,IN,34.17,77.58,52.27,23,0,14.16,1603019632
Redlands,US,34.06,-117.18,64.99,39,1,1.36,1603019744
Mombetsu,JP,44.35,143.35,48.0,72,28,7.0,1603019714
Morgan City,US,29.7,-91.21,66.2,93,1,3.36,1603019816
Seymchan,RU,62.88,152.43,24.33,84,53,4.85,1603019817
Arica,CL,-18.48,-70.3,62.01,78,66,1.99,1603019817
Marzuq,YE,14.4,46.47,83.91,14,0,11.07,1603019817
Port-Cartier,CA,50.03,-66.87,37.99,93,5,3.36,1603019817
Garissa,KE,-0.45,39.64,95.29,26,20,16.46,1603019817
Bāgepalli,IN,13.78,77.79,78.8,74,75,2.24,1603019817
Manta,EC,-0.95,-80.73,71.89,86,99,9.62,1603019817
Fortuna,US,40.6,-124.16,48.2,100,1,4.7,1603019794
Havøysund,NO,71.0,24.66,32.0,73,75,5.82,1603019818
Bambanglipuro,ID,-7.95,110.28,78.26,82,75,11.5,1603019818
Blagoyevo,RU,63.37,47.92,33.26,92,100,7.16,1603019818
Te Anau,NZ,-45.42,167.72,44.83,88,100,1.99,1603019590
Beira,MZ,-19.84,34.84,80.6,65,75,12.75,1603019732
Almaznyy,RU,48.04,40.05,73.4,56,40,20.13,1603019819
Port Pirie,AU,-33.18,138.02,57.2,71,0,18.34,1603019819
Acapulco de Juárez,MX,16.86,-99.89,77.43,74,54,4.32,1603019681
Ostrovnoy,RU,68.05,39.51,36.59,79,38,11.65,1603019820
Ribeira Grande,PT,38.52,-28.7,60.8,63,20,6.93,1603019820
Cajimos,PH,12.59,122.28,84.69,77,66,15.9,1603019820
Codrington,AU,-38.27,141.97,48.04,90,16,7.31,1603019820
Pizarro,CO,4.95,-77.37,75.74,91,100,5.03,1603019820
Udachny,RU,66.42,112.4,6.8,92,0,4.47,1603019820
Lagoa,PT,39.05,-27.98,61.21,64,100,15.52,1603019820
Torbat-e Jām,IR,35.24,60.62,72.88,18,0,11.14,1603019821
Beloha,MG,-25.17,45.05,83.95,41,0,16.64,1603019821
Velizh,RU,55.61,31.2,37.56,79,100,10.25,1603019821
Beaverlodge,CA,55.22,-119.44,8.6,84,5,4.7,1603019821
Igarka,RU,67.47,86.58,24.17,97,100,16.04,1603019821
Manama,BH,26.22,50.58,89.6,62,5,13.87,1603019762
Manbij,SY,36.53,37.95,80.6,21,18,3.36,1603019821
Piła,PL,53.15,16.74,49.32,74,100,16.64,1603019822
Maxixe,MZ,-23.86,35.35,82.4,51,40,13.87,1603019822
Hithadhoo,MV,-0.6,73.08,83.46,78,86,20.27,1603019704
Itarema,BR,-2.92,-39.92,82.98,58,53,16.84,1603019822
Nāgar Karnūl,IN,16.48,78.32,82.6,72,99,2.51,1603019798
Juneau,US,58.3,-134.42,35.01,86,20,6.08,1603019822
Yambio,SS,4.57,28.4,73.87,92,99,1.21,1603019822
Timmins,CA,48.47,-81.33,44.6,93,90,12.75,1603019823
Ciudad Bolivar,VE,8.12,-63.55,76.95,87,96,6.78,1603019824
Pochutla,MX,15.74,-96.47,73.99,88,29,3.53,1603019824
Gimli,CA,50.63,-96.99,28.0,98,59,5.01,1603019824
Nhulunbuy,AU,-12.23,136.77,78.8,74,99,5.82,1603019824
East London,ZA,-33.02,27.91,68.0,60,60,23.04,1603019824
Narsaq,GL,60.92,-46.05,33.8,80,75,2.24,1603019824
Pangnirtung,CA,66.15,-65.71,34.02,80,100,4.41,1603019825
Asău,RO,46.43,26.4,60.8,48,20,4.7,1603019825
Bredasdorp,ZA,-34.53,20.04,69.8,49,100,8.05,1603019825
Lunsar,SL,8.68,-12.53,85.23,72,53,2.71,1603019825
Jalu,LY,29.03,21.55,98.17,12,0,13.27,1603019825
South Kazakhstan Region,KZ,43.0,68.0,75.45,17,0,6.98,1603019825
Coahuayana Viejo,MX,18.73,-103.68,76.6,85,85,3.13,1603019825
Tautira,PF,-17.73,-149.15,75.2,83,97,3.36,1603019826
Carnarvon,AU,-24.87,113.63,71.6,78,90,19.46,1603019826
Marystown,CA,47.17,-55.15,55.99,100,97,13.96,1603019826
Pacifica,US,37.61,-122.49,64.0,72,20,8.05,1603019657
Lékoni,GA,-1.58,14.26,80.22,71,96,4.45,1603019826
Katobu,ID,-4.94,122.53,78.62,71,70,5.1,1603019826
Teknāf,BD,20.86,92.31,82.85,83,100,8.01,1603019827
Dhār,IN,22.6,75.3,93.2,46,40,1.95,1603019827
Iqaluit,CA,63.75,-68.51,32.0,98,90,13.87,1603019827
Callaway,US,30.15,-85.57,64.4,88,1,11.41,1603019827
Hasaki,JP,35.73,140.83,59.0,82,20,6.93,1603019827
Baní,DO,18.28,-70.33,78.01,88,79,3.0,1603019828
Dakar,SN,14.69,-17.44,86.0,79,40,6.93,1603019785
Kandrian,PG,-6.22,149.55,77.63,90,100,5.55,1603019828
Kintampo,GH,8.06,-1.73,83.55,70,46,5.84,1603019828
Yellowknife,CA,62.46,-114.35,23.0,92,90,8.05,1603019828
Shiyan,CN,32.65,110.78,57.99,25,84,3.0,1603019828
Los Andes,CL,-32.83,-70.6,60.01,99,0,0.4,1603019828
Anchorage,US,61.22,-149.9,34.0,59,90,6.93,1603019733
Grimshaw,CA,56.18,-117.6,16.0,72,90,3.36,1603019829
Mahébourg,MU,-20.41,57.7,80.6,57,20,10.29,1603019829
Abu Samrah,SY,35.3,37.18,86.43,16,1,4.29,1603019829
North Bend,US,43.41,-124.22,48.2,100,75,4.7,1603019829
Batemans Bay,AU,-35.72,150.18,60.01,74,100,7.67,1603019829
Troitskaya,RU,43.31,44.98,78.8,29,0,4.47,1603019829
Aginskoye,RU,51.1,114.53,38.55,78,69,8.48,1603019830
Vila Velha,BR,-20.33,-40.29,70.0,94,75,5.82,1603019830
Port Hardy,CA,50.7,-127.42,46.4,93,90,16.11,1603019830
Imbituba,BR,-28.24,-48.67,68.0,94,40,3.36,1603019830
Lavrentiya,RU,65.58,-171.0,35.94,88,60,4.56,1603019830
Šaľa,SK,48.15,17.88,57.99,76,17,8.01,1603019830
São Gabriel da Cachoeira,BR,-0.13,-67.09,73.81,94,28,1.68,1603019830
Visnes,NO,59.36,5.22,46.4,61,68,17.22,1603019831
Aklavik,CA,68.22,-135.01,8.6,84,20,5.82,1603019831
Gambissara,SN,13.24,-14.31,91.2,54,0,5.14,1603019831
Bambous Virieux,MU,-20.34,57.76,80.6,57,20,10.29,1603019831
Monticello,US,45.31,-93.79,30.2,68,1,8.08,1603019831
Kitimat,CA,54.05,-128.65,39.0,90,95,3.94,1603019831
Sitka,US,57.05,-135.33,41.0,60,90,3.36,1603019831
Mossamedes,AO,-15.2,12.15,77.0,65,60,11.41,1603019832
Arlit,NE,18.74,7.39,99.9,9,0,8.88,1603019832
Kodamachō-kodamaminami,JP,36.18,139.13,52.0,86,10,5.01,1603019832
Torbay,CA,47.67,-52.73,51.01,99,74,15.19,1603019832
Olafsvik,IS,64.89,-23.71,39.79,80,29,24.65,1603019832
Escanaba,US,45.75,-87.06,39.2,86,90,6.93,1603019833
Planá,CZ,49.87,12.74,48.0,74,57,10.0,1603019833
Pontianak,ID,-0.03,109.33,80.76,81,82,6.4,1603019833
Hirara,JP,24.8,125.28,78.8,78,75,14.99,1603019591
Mopti,ML,14.67,-4.0,101.97,12,17,16.02,1603019833
Tartagal,AR,-22.52,-63.8,75.78,61,0,1.59,1603019833
Vestmanna,FO,62.16,-7.17,39.2,86,75,5.82,1603019834
Mar del Plata,AR,-38.0,-57.56,60.8,93,10,6.93,1603019834
Marang,MY,5.21,103.21,84.2,89,40,2.24,1603019834
Praia,CV,14.92,-23.51,86.0,70,40,10.29,1603019834
Deputatsky,RU,69.3,139.9,13.41,96,100,10.25,1603019834
Margate,GB,51.38,1.39,55.0,75,90,3.0,1603019834
Sørland,NO,67.67,12.69,39.2,66,75,14.99,1603019835
Kiri Buru,IN,22.08,85.35,81.55,78,83,5.46,1603019835
Tadpatri,IN,14.92,78.02,87.33,58,100,8.77,1603019687
Severo-Kuril'sk,RU,50.68,156.12,45.95,79,96,12.57,1603019835
Kalmunai,LK,7.42,81.82,84.65,68,84,11.3,1603019835
Chapais,CA,49.78,-74.85,35.6,100,90,14.99,1603019835
Slave Lake,CA,55.28,-114.77,17.6,78,90,4.7,1603019835
Ibrā’,OM,22.69,58.53,94.86,9,0,15.32,1603019836
Bengkulu,ID,-3.8,102.27,79.97,76,24,2.15,1603019836
Tocopilla,CL,-22.09,-70.2,62.64,52,20,7.14,1603019836
Tinskoy,RU,56.15,96.92,50.22,63,100,8.19,1603019836
San Patricio,US,28.02,-97.52,75.99,94,20,5.82,1603019836
Baykit,RU,61.67,96.37,40.42,88,100,9.22,1603019837
Koygorodok,RU,60.45,51.0,34.99,85,100,9.13,1603019837
Loandjili,CG,-4.76,11.86,82.4,78,40,9.17,1603019837
Hokitika,NZ,-42.72,170.97,53.6,94,100,6.78,1603019837
Vardø,NO,70.37,31.11,39.67,70,61,8.93,1603019837
Port Blair,IN,11.67,92.75,80.26,83,99,15.99,1603019837
Kyra,RU,49.58,111.98,38.46,73,86,4.36,1603019838
Mayo,US,38.89,-76.51,46.4,100,1,6.02,1603019660
Viedma,AR,-40.81,-63.0,64.0,37,6,4.0,1603019838
Buin,CL,-33.73,-70.75,64.0,93,0,2.24,1603019838
Sakakah,SA,29.97,40.21,91.4,11,0,4.7,1603019838
Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,1603019838
Esqueda,MX,30.72,-109.58,58.42,47,33,2.64,1603019838
Buenaventura,CO,3.88,-77.03,73.92,93,100,1.79,1603019839
Mirny,RU,62.54,113.96,24.8,68,90,4.47,1603019839
Bacolod City,PH,10.67,122.95,80.82,81,71,8.66,1603019839
Talisayan,PH,6.99,121.93,82.4,83,75,2.24,1603019839
Zyryanka,RU,65.75,150.85,21.07,93,69,4.5,1603019839
Hualmay,PE,-11.1,-77.61,61.66,85,73,5.17,1603019839
Zhenlai,CN,45.85,123.3,45.41,53,0,10.71,1603019840
Baloda Bāzār,IN,21.67,82.17,87.22,70,69,0.31,1603019840
Xining,CN,36.62,101.77,44.31,53,0,4.59,1603019632
Vao,NC,-22.67,167.48,71.28,78,17,16.71,1603019840
Bintulu,MY,3.17,113.03,84.2,83,20,6.93,1603019840
Melville,US,40.79,-73.42,42.8,75,1,3.36,1603019840
Basco,PH,20.45,121.97,81.45,80,46,23.73,1603019841
Krasnosel'kup,RU,65.7,82.47,24.15,97,74,21.0,1603019841
Caucayá,CO,-0.19,-74.78,69.91,98,65,1.52,1603019841
Plettenberg Bay,ZA,-34.05,23.37,66.76,58,100,8.99,1603019841
Mogadishu,SO,2.04,45.34,86.0,62,75,16.11,1603019841
San Quintín,MX,30.48,-115.95,67.42,79,3,6.46,1603019841
Skjervøy,NO,70.03,20.97,35.6,80,75,1.12,1603019842
Matara,LK,5.95,80.54,83.62,72,34,14.79,1603019842
Juquiá,BR,-24.32,-47.63,69.08,76,97,0.94,1603019842
Barcelos,PT,41.54,-8.62,69.01,56,96,9.17,1603019842
Pacific Grove,US,36.62,-121.92,57.2,62,1,3.36,1603019842
Chumikan,RU,54.72,135.31,30.2,85,100,16.6,1603019842
Dalvik,IS,65.97,-18.53,44.6,70,90,2.24,1603019843
Senador José Porfírio,BR,-2.59,-51.95,77.32,81,34,4.14,1603019843
Bac Ninh,VN,21.18,106.05,69.8,88,75,3.36,1603019712
Inyonga,TZ,-6.72,32.07,92.62,20,0,4.45,1603019843
Cervo,ES,43.67,-7.41,69.01,1,58,4.41,1603019843
Kula,TR,38.55,28.65,76.53,39,68,9.31,1603019843
Øksfjord,NO,70.24,22.35,32.0,86,40,3.36,1603019844
Lisala,CD,2.15,21.52,96.06,41,59,1.83,1603019844
Gīdolē,ET,5.65,37.37,67.19,73,66,3.47,1603019844
Avera,US,33.19,-82.53,51.8,81,90,6.93,1603019844
Santa Maria,BR,-29.68,-53.81,66.58,67,80,5.64,1603019844
Havre-St-Pierre,CA,50.23,-63.6,39.2,93,1,17.22,1603019844
Puerto Escondido,MX,15.85,-97.07,78.13,70,9,4.85,1603019845
Wagar,SD,16.15,36.2,99.63,11,0,8.08,1603019845
Kuytun,RU,54.34,101.5,42.6,79,99,4.72,1603019845
Bo Rai,TH,12.57,102.54,75.7,92,100,2.01,1603019845
San Vicente,AR,-26.62,-54.13,68.5,56,95,3.85,1603019845
Saskylakh,RU,71.92,114.08,15.01,97,89,3.69,1603019845
Abonnema,NG,4.71,6.79,84.2,70,75,3.36,1603019846
Corrales,US,35.24,-106.61,53.01,21,0,1.99,1603019688
Maceió,BR,-9.67,-35.74,78.8,74,75,4.7,1603019747
Zhigansk,RU,66.77,123.37,14.11,96,100,6.15,1603019846
Athabasca,CA,54.72,-113.29,15.8,88,0,4.88,1603019846
Marrakesh,MA,31.63,-8.01,78.8,36,36,6.93,1603019846
Kattivākkam,IN,13.22,80.32,78.8,100,90,3.36,1603019846
Praia da Vitória,PT,38.73,-27.07,57.99,93,40,9.42,1603019847
Wajir,KE,1.75,40.06,92.5,30,3,13.94,1603019740
Nizwá,OM,22.93,57.53,94.42,9,0,4.83,1603019847
Gualaquiza,EC,-3.4,-78.55,60.31,88,94,0.76,1603019847
Moree,AU,-29.47,149.85,59.0,93,75,8.05,1603019847
Lesogorsk,RU,56.05,99.51,48.87,66,100,8.57,1603019847
Madang,PG,-5.22,145.8,78.8,85,100,2.39,1603019848
Lüderitz,NA,-26.65,15.16,74.68,42,8,24.52,1603019848
Nuuk,GL,64.18,-51.72,39.2,93,75,8.05,1603019848
Chokurdakh,RU,70.63,147.92,21.67,98,97,7.14,1603019752
Jelgava,LV,56.65,23.71,42.8,93,20,4.7,1603019848
Teguise,ES,29.06,-13.56,73.4,69,20,5.82,1603019849
Inhambane,MZ,-23.86,35.38,82.4,51,40,13.87,1603019849
Kangaatsiaq,GL,68.31,-53.46,37.71,78,100,15.75,1603019849
Smithers,CA,54.78,-127.17,32.0,94,90,8.05,1603019849
Atambua,ID,-9.11,124.89,77.18,77,50,1.3,1603019849
George,ZA,-33.96,22.46,64.4,63,75,6.93,1603019849
Acqui Terme,IT,44.68,8.47,60.01,68,5,1.99,1603019822
Dhidhdhoo,MV,6.88,73.1,82.51,78,99,16.64,1603019705
Andenes,NO,69.31,16.12,41.0,69,40,20.8,1603019850
Byron Bay,AU,-28.65,153.62,69.8,83,90,6.93,1603019850
Kartaly,RU,53.05,60.65,45.93,50,0,8.28,1603019850
Atar,MR,20.52,-13.05,95.54,19,0,7.38,1603019850
Wschowa,PL,51.81,16.32,51.01,66,88,4.0,1603019850
Muros,ES,42.78,-9.06,64.99,77,75,2.24,1603019851
Billings Metropolitan Area,US,45.78,-108.5,24.01,92,90,4.7,1603019851
Stranda,NO,62.31,6.94,39.99,91,100,5.01,1603019851
Imeni Poliny Osipenko,RU,52.42,136.49,29.5,79,99,10.27,1603019851
Camacha,PT,33.08,-16.33,69.8,83,40,21.92,1603019851
Myitkyina,MM,25.38,97.4,81.59,71,50,0.96,1603019851
Rome,US,43.21,-75.46,37.0,80,1,5.82,1603019852
Cap Malheureux,MU,-19.98,57.61,80.01,56,1,13.0,1603019852
Singaraja,ID,-8.11,115.09,81.73,73,28,2.04,1603019835
Mehamn,NO,71.04,27.85,37.74,80,98,8.21,1603019852
Bosaso,SO,11.28,49.18,86.0,74,20,12.75,1603019852
Pingliang,CN,35.54,106.69,47.8,55,61,0.98,1603019782
Nemuro,JP,43.32,145.57,56.64,78,0,17.52,1603019852
Cabo San Lucas,MX,22.89,-109.91,77.0,81,6,1.99,1603019852
Diu,IN,20.71,70.98,84.13,77,66,9.8,1603019853
Banjar,ID,-8.19,114.97,82.4,94,75,8.05,1603019853
Yarmouth,US,41.71,-70.23,43.0,53,1,7.36,1603019853
Santiago de Cao,PE,-7.96,-79.24,61.47,90,46,7.63,1603019853
La Ronge,CA,55.1,-105.28,23.0,85,90,12.75,1603019853
Usinsk,RU,65.99,57.53,30.81,95,49,9.84,1603019853
Angoche,MZ,-16.23,39.91,82.02,53,5,11.34,1603019853
Port Augusta,AU,-32.5,137.77,57.2,71,0,18.34,1603019854
Barguzin,RU,53.62,109.62,36.95,80,57,3.0,1603019854
Belmonte,BR,-15.86,-38.88,75.2,73,75,5.82,1603019854
Kamenka,RU,51.32,42.77,64.0,74,100,18.21,1603019854
Olinda,BR,-8.01,-34.86,80.6,65,20,13.87,1603019854
Alyangula,AU,-13.85,136.42,82.4,69,40,5.82,1603019855
Itoman,JP,26.12,127.67,78.8,74,20,20.8,1603019855
Hūn,LY,29.13,15.95,83.77,38,91,2.1,1603019855
Karratha,AU,-20.74,116.85,71.46,71,0,15.68,1603019855
Esim,GH,4.87,-2.24,82.11,76,87,8.97,1603019855
Catuday,PH,16.29,119.81,78.76,88,92,11.14,1603019855
Baker City,US,44.77,-117.83,48.99,52,90,3.36,1603019856
Itaituba,BR,-4.28,-55.98,77.38,84,80,2.55,1603019856
Oussouye,SN,12.48,-16.55,87.8,70,0,4.7,1603019856
Chingirlau,KZ,51.09,54.08,60.21,34,38,11.3,1603019856
Mitsamiouli,KM,-11.38,43.28,80.44,70,7,5.66,1603019856
Roura,GF,4.73,-52.33,77.0,100,20,5.5,1603019856
Kupang,ID,-10.17,123.58,82.4,65,19,5.82,1603019856
Muzhi,RU,65.37,64.67,30.76,94,12,11.63,1603019857
Kununurra,AU,-15.77,128.73,89.6,52,90,12.75,1603019857
Harrisonburg,US,38.45,-78.87,36.0,82,1,3.0,1603019857
Río Gallegos,AR,-51.62,-69.22,35.6,62,95,2.24,1603019857
Pecos,US,31.42,-103.49,53.6,28,1,3.36,1603019727
Rayevskiy,RU,54.07,54.95,47.93,49,73,14.38,1603019857
Tuatapere,NZ,-46.13,167.68,43.99,80,99,1.83,1603019858
Naze,JP,28.37,129.48,75.2,94,75,23.04,1603019858
Zionsville,US,39.95,-86.26,53.6,53,90,11.41,1603019775
Sos'va,RU,59.18,61.86,37.22,78,15,6.82,1603019861
Shakawe,BW,-18.37,21.85,99.5,8,0,10.92,1603019861
Yulara,AU,-25.24,130.99,75.2,73,90,14.99,1603019861
Moranbah,AU,-22.0,148.05,70.23,60,0,14.07,1603019862
Norsup,VU,-16.07,167.38,76.39,80,19,11.5,1603019862
Iberia,US,29.95,-91.75,64.4,93,75,5.82,1603019862
Lermontovka,RU,47.15,134.34,32.34,86,0,3.18,1603019862
